File,UR,Test Time
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3305_9580-T-3_02Apr2021153546.mat,0.7655617937623124,2021-04-02 15:35:46
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3305_9580-T_02Apr2021145512.mat,0.7575701004374862,2021-04-02 14:55:12
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3305_9580.60_23Apr2021100736.mat,0.6721491297937195,2021-04-23 10:07:36
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3305_9580.60_23Apr2021103050.mat,0.679360097763648,2021-04-23 10:30:50
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3305_9580.60_23Apr2021110850.mat,0.6848939327265149,2021-04-23 11:08:50
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3305_9587-2_16Mar2021154924.mat,0.775221139771197,2021-03-16 15:49:24
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3348_9896-3_09Mar2021154918.mat,0.6388785571311482,2021-03-09 15:49:18
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3348_9932-1_16Mar2021115458.mat,0.8486075026788613,2021-03-16 11:54:58
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3348_9936-1_16Mar2021110420.mat,0.9758136667597628,2021-03-16 11:04:20
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3348_9937Test_18Apr2024160648.mat,0.32826707175146663,2024-04-18 16:06:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM338_10496-test-4_04Oct2021085238.mat,0.732787127639526,2021-10-04 08:52:38
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_011480_21Sep2021092831.mat,0.7080310865415365,2021-09-21 09:28:31
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_111482-12_21Sep2021091148.mat,0.4742526431250452,2021-09-21 09:11:48
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11480.60_23Apr2021104604.mat,0.9685098138999562,2021-04-23 10:46:04
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11482-12_21Sep2021090141.mat,0.46840050597175714,2021-09-21 09:01:41
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11482test_21Sep2021083109.mat,0.4794612582162108,2021-09-21 08:31:09
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_11482_21Sep2021085910.mat,0.43183978763355635,2021-09-21 08:59:10
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580-1.27_27Apr2021155053.mat,0.6818133651460201,2021-04-27 15:50:53
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580-cc_20Apr2021134931.mat,0.7449815241675478,2021-04-20 13:49:31
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580-dd_20Apr2021150540.mat,0.7546201945825807,2021-04-20 15:05:40
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.1_21Apr2021154149.mat,0.7502022515768988,2021-04-21 15:41:49
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.27_27Apr2021114150.mat,0.6744797566752928,2021-04-27 11:41:50
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.2_21Apr2021154508.mat,0.7404113532032927,2021-04-21 15:45:08
O:\Transducers\Uniformity Scan Data\High Resolution Uniformity\xdcr_DM3447_9580.3_21Apr2021154819.mat,0.7177924256540502,2021-04-21 15:48:19
